symbol
AAPL
MSFT
TSLA
AMZN
GOOGL
NVDA
META
AMD
INTC
BAC
F
GE
T
XOM
WFC
WMT
KO
PEP
PFE
JNJ
DIS
NFLX
CRM
V
MA
CSCO
ADBE
ORCL
NIO
UBER
